新No,旧番号,創作タイトル,元採用案,base,openai,google
N01,0001,展示パネル積み下ろし中、昇降板からの墜落,A_openai,photos_v16/N01/base.png,photos_v16/N01/openai.png,photos_v16/N01/google.png
N02,0002,什器の積み下ろし中、昇降板と車体の間に足を挟まれ,A_openai,photos_v16/N02/base.png,photos_v16/N02/openai.png,photos_v16/N02/google.png
N03,0003,パワーゲートでの荷役中、昇降板から転落しかけ,D_google_event,photos_v16/N03/base.png,photos_v16/N03/openai.png,photos_v16/N03/google.png
N04,0017,台車を昇降装置へ移す際、台車が落下し下敷きに,D_google_event,photos_v16/N04/base.png,photos_v16/N04/openai.png,photos_v16/N04/google.png
N05,0019,荷下ろし中、カゴ台車が倒れ作業員が転倒,C_openai_event,photos_v16/N05/base.png,photos_v16/N05/openai.png,photos_v16/N05/google.png
N06,0040,会場天井付近の作業中、作業床手すりと上方構造物の間に挟まれ,C_openai_event,photos_v16/N06/base.png,photos_v16/N06/openai.png,photos_v16/N06/google.png
N07,0042,梁下を移動中、上方の梁と操作盤の間に挟まれ,D_google_event,photos_v16/N07/base.png,photos_v16/N07/openai.png,photos_v16/N07/google.png
N08,0043,養生ネットを外そうとしてバスケットから墜落,D_google_event,photos_v16/N08/base.png,photos_v16/N08/openai.png,photos_v16/N08/google.png
N09,0044,看板取付で身を乗り出し、作業床から墜落,D_google_event,photos_v16/N09/base.png,photos_v16/N09/openai.png,photos_v16/N09/google.png
N10,0046,作業床上昇中、操作盤フレームと天井の間に胸部を挟まれ,D_google_event,photos_v16/N10/base.png,photos_v16/N10/openai.png,photos_v16/N10/google.png
